CUID_Deploy,deployedBy,CUID_Recover,recoveredBy,Reference Designator,deploymentNumber,versionNumber,startDateTime,stopDateTime,mooring.uid,node.uid,sensor.uid,lat,lon,orbit,depth
OC1510A,,,,CE01ISSM-MFC31-00-CPMENG000,4,1,2015-10-08T19:03:00,2016-05-10T00:00:00,N00261,,OL000202,44.6601,-124.09582,,25
OC1510A,,,,CE01ISSM-MFD35-00-DCLENG000,4,1,2015-10-08T19:03:00,2016-05-10T00:00:00,N00261,,OL000205,44.6601,-124.09582,,25
OC1510A,,,,CE01ISSM-MFD35-01-VEL3DD000,4,1,2015-10-08T19:03:00,2016-05-10T00:00:00,N00261,,A01027,44.6601,-124.09582,,25
OC1510A,,,,CE01ISSM-MFD35-02-PRESFA000,4,1,2015-10-08T19:03:00,2016-05-10T00:00:00,N00261,,A01011,44.6601,-124.09582,,25
OC1510A,,,,CE01ISSM-MFD35-04-ADCPTM000,4,1,2015-10-08T19:03:00,2016-05-10T00:00:00,N00261,,A00245,44.6601,-124.09582,,25
OC1510A,,,,CE01ISSM-MFD35-05-PCO2WB000,4,1,2015-10-08T19:03:00,2016-05-10T00:00:00,N00261,,N00667,44.6601,-124.09582,,25
OC1510A,,,,CE01ISSM-MFD37-00-DCLENG000,4,1,2015-10-08T19:03:00,2016-05-10T00:00:00,N00261,,OL000206,44.6601,-124.09582,,25
OC1510A,,,,CE01ISSM-MFD37-03-CTDBPC000,4,1,2015-10-08T19:03:00,2016-05-10T00:00:00,N00261,,A01758,44.6601,-124.09582,,25
OC1510A,,,,CE01ISSM-MFD37-03-DOSTAD000,4,1,2015-10-08T19:03:00,2016-05-10T00:00:00,N00261,,A01694,44.6601,-124.09582,,25
OC1510A,,,,CE01ISSM-MFD37-07-ZPLSCC000,4,1,2015-10-08T19:03:00,2016-05-10T00:00:00,N00261,,A01784,44.6601,-124.09582,,25
OC1510A,,,,CE01ISSM-RID16-00-DCLENG000,4,1,2015-10-08T19:03:00,2016-05-10T00:00:00,N00261,,OL000204,44.6601,-124.09582,,25
OC1510A,,,,CE01ISSM-RID16-01-OPTAAD000,4,1,2015-10-08T19:03:00,2016-05-10T00:00:00,N00261,,A00575,44.6601,-124.09582,,25
OC1510A,,,,CE01ISSM-RID16-02-FLORTD000,4,1,2015-10-08T19:03:00,2016-05-10T00:00:00,N00261,,A00616,44.6601,-124.09582,,25
OC1510A,,,,CE01ISSM-RID16-03-CTDBPC000,4,1,2015-10-08T19:03:00,2016-05-10T00:00:00,N00261,,A01756,44.6601,-124.09582,,25
OC1510A,,,,CE01ISSM-RID16-03-DOSTAD000,4,1,2015-10-08T19:03:00,2016-05-10T00:00:00,N00261,,A01687,44.6601,-124.09582,,25
OC1510A,,,,CE01ISSM-RID16-04-VELPTA000,4,1,2015-10-08T19:03:00,2016-05-10T00:00:00,N00261,,A01016,44.6601,-124.09582,,25
OC1510A,,,,CE01ISSM-RID16-05-PCO2WB000,4,1,2015-10-08T19:03:00,2016-05-10T00:00:00,N00261,,A00074,44.6601,-124.09582,,25
OC1510A,,,,CE01ISSM-RID16-06-PHSEND000,4,1,2015-10-08T19:03:00,2016-05-10T00:00:00,N00261,,N00524,44.6601,-124.09582,,25
OC1510A,,,,CE01ISSM-RID16-07-NUTNRB000,4,1,2015-10-08T19:03:00,2016-05-10T00:00:00,N00261,,A01777,44.6601,-124.09582,,25
OC1510A,,,,CE01ISSM-RID16-08-SPKIRB000,4,1,2015-10-08T19:03:00,2016-05-10T00:00:00,N00261,,A01675,44.6601,-124.09582,,25
OC1510A,,,,CE01ISSM-SBC11-00-CPMENG000,4,1,2015-10-08T19:03:00,2016-05-10T00:00:00,N00261,,OL000201,44.6601,-124.09582,,25
OC1510A,,,,CE01ISSM-SBD17-00-DCLENG000,4,1,2015-10-08T19:03:00,2016-05-10T00:00:00,N00261,,OL000203,44.6601,-124.09582,,25
OC1510A,,,,CE01ISSM-SBD17-01-MOPAK0000,4,1,2015-10-08T19:03:00,2016-05-10T00:00:00,N00261,,OL000207,44.6601,-124.09582,,25
OC1510A,,,,CE01ISSM-SBD17-04-VELPTA000,4,1,2015-10-08T19:03:00,2016-05-10T00:00:00,N00261,,N00413,44.6601,-124.09582,,25
OC1510A,,,,CE01ISSM-SBD17-06-CTDBPC000,4,1,2015-10-08T19:03:00,2016-05-10T00:00:00,N00261,,A01759,44.6601,-124.09582,,25
OC1510A,,,,CE01ISSM-SBD17-06-FLORTD000,4,1,2015-10-08T19:03:00,2016-05-10T00:00:00,N00261,,A00615,44.6601,-124.09582,,25
