OOIBARCODE,Int_Asset,DESCRIPTION,Type,serial_number,Date,comments
A01159,CE06ISSM-00002,,Mooring,CE06ISSM-00002,4/10/2015,
,,CTDBP S/N,,N/A,,
,,FLORT S/N,,N/A,,
A01024,,VELPT S/N,Sensor,AQD 11820,,
,,WAVSS S/N,,,,
OL000214,,MOPAK S/N,,CE06ISSM-00002-MOPAK,,
,,ADCP S/N,,,,
A00127,,CTDBP S/N,Sensor,16P71879-7241,,
A00806,,DOSTA S/N,Sensor,314,,
A01229,,FLORT S/N,Sensor,1197,,
A00692,,NUTNR S/N,Sensor,265,,
,,NUTNR Batt S/N,,,,
A01059,,OPTAA S/N,Sensor,ACS-184,,
,,PCO2W S/N,,N/A,,
A00250,,PHSEN S/N,Sensor,P0084,,
A00694,,SPKIR S/N,Sensor,255,,
A00237,,VELPT S/N,Sensor,AQD 8539,,
,,MFN AcousticRelease S/N,,,,
,,MFN AcousticRelease S/N,,,,
,,ARM AcousticRelease S/N,,,,
N00416,,ADCP S/N,Sensor,21524,,
,,CAMDS S/N,,N/A,,
A01146,,CTDBP S/N,Sensor,16-50057,,
A00805,,DOSTA S/N,Sensor,313,,
A01191,,OPTAA S/N,Sensor,ACS-208,,
A01064,,PCO2W S/N,Sensor,C0085,,
A00266,,PHSEN S/N,Sensor,P0086,,
A00248,,PRESF S/N,Sensor,26P71826-1351,,
,,VELPT S/N,,N/A,,
A00061,,VEL3D S/N,Sensor,9668,,
A01151,,ZPLSC S/N,Sensor,55075,,
OL000208,,CE06ISSM-00002-CPM1,,CE06ISSM-00002-CPM1,,
OL000209,,CE06ISSM-00002-CPM3,,CE06ISSM-00002-CPM3,,
OL000210,,CE06ISSM-00002-DCL17,,CE06ISSM-00002-DCL17,,
OL000211,,CE06ISSM-00002-DCL16,,CE06ISSM-00002-DCL16,,
OL000212,,CE06ISSM-00002-DCL35,,CE06ISSM-00002-DCL35,,
OL000213,,CE06ISSM-00002-DCL37,,CE06ISSM-00002-DCL37,,
