OOIBARCODE,Int_Asset,DESCRIPTION,Type,serial_number,Date,comments
N00261,CE01ISSM-00004,,Mooring,CE01ISSM-00004,10/8/2015,
,,CTDBP S/N,,,,
,,FLORT S/N,,,,
N00413,,VELPT S/N,Sensor,AQD 11398,,
,,WAVSS S/N,,N/A,,
,,MOPAK S/N,,0.711805556,,
,,ADCP S/N,,,,
A01756,,CTDBP S/N,Sensor,16-50151,,
A01687,,DOSTA S/N,Sensor,477,,
A00616,,FLORT S/N,Sensor,1154,,
A01777,,NUTNR S/N,Sensor,286,,
,,NUTNR Batt S/N,,,,
A00575,,OPTAA S/N,Sensor,ACS-136,,
A00074,,PCO2W S/N,Sensor,C0053,,
N00524,,PHSEN S/N,Sensor,P0170,,
A01675,,SPKIR S/N,Sensor,294,,
A01016,,VELPT S/N,Sensor,11789,,
,,MFN AcousticRelease S/N,,,,
,,MFN AcousticRelease S/N,,,,
,,ARM AcousticRelease S/N,,,,
,,ADCP S/N,,N/A,,
,,CAMDS S/N,,N/A,,
,,CTDBP S/N,,N/A,,
A01694,,DOSTA S/N,Sensor,485,,
,,OPTAA S/N,,N/A,,
N00667,,PCO2W S/N,Sensor,C0126,,
,,PHSEN S/N,,N/A,,
A01011,,PRESF S/N,Sensor,26P76848-1382,,
,,VELPT S/N,,N/A,,
A01027,,VEL3D S/N,Sensor,11090,,
A01784,,ZPLSC S/N,Sensor,55099,,
