serial,name,value,notes
26-1401,CC_b,838.8,source_file 3305-00105-00110-A_SN_26-1401_QCT_Results_PRESF-C.zip > 3305-00105-00110-01042022.CAP
26-1401,CC_c1,-4.813482e+03,
26-1401,CC_c2,1.233909e+02,
26-1401,CC_c3,1.354989e+04,
26-1401,CC_d1,7.108100e-02,
26-1401,CC_d2,0.000000e+00,
26-1401,CC_m,12582.9,
26-1401,CC_offset_correction_factor,0,constant
26-1401,CC_pressure_offset_calibration_coefficient,-5.480000e-01,
26-1401,CC_slope_correction_factor,1,constant
26-1401,CC_t1,3.038801e+01,
26-1401,CC_t2,1.029573e+00,
26-1401,CC_t3,4.559356e+01,
26-1401,CC_t4,1.140129e+02,
26-1401,CC_u0,5.828481e+00,
26-1401,CC_y1,-3.960795e+03,
26-1401,CC_y2,-1.032100e+04,
26-1401,CC_y3,0.000000e+00,
