serial,name,value,notes
16-7249,CC_C1,-4.643779e+003,
16-7249,CC_C2,-7.540100e-002,
16-7249,CC_C3,8.852730e-004,
16-7249,CC_D1,6.781200e-002,
16-7249,CC_D2,0.000000e+000,
16-7249,CC_T1,3.005444e+001,
16-7249,CC_T2,-3.892070e-004,
16-7249,CC_T3,2.670250e-006,
16-7249,CC_T4,1.718780e-009,
16-7249,CC_T5,0.000000e+000,
16-7249,CC_a0,1.23778582e-003,
16-7249,CC_a1,2.77742763e-004,
16-7249,CC_a2,-1.40900652e-006,
16-7249,CC_a3,1.91960356e-007,
16-7249,CC_cpcor,-9.57000000e-008,
16-7249,CC_ctcor,3.2500e-006,
16-7249,CC_g,-9.98059472e-001,
16-7249,CC_h,1.55298613e-001,
16-7249,CC_i,-4.25722145e-004,
16-7249,CC_j,5.62294556e-005,
