serial,name,value,notes
16-50117,CC_C1,-4.911943e+003,
16-50117,CC_C2,3.649200e-002,
16-50117,CC_C3,1.013340e-003,
16-50117,CC_D1,7.179800e-002,
16-50117,CC_D2,0.000000e+000,
16-50117,CC_T1,3.038630e+001,
16-50117,CC_T2,-4.384230e-005,
16-50117,CC_T3,2.761040e-006,
16-50117,CC_T4,2.099010e-009,
16-50117,CC_T5,0.000000e+000,
16-50117,CC_a0,1.25523814e-003,
16-50117,CC_a1,2.73402207e-004,
16-50117,CC_a2,-1.01635276e-006,
16-50117,CC_a3,1.77701217e-007,
16-50117,CC_cpcor,-9.57000000e-008,
16-50117,CC_ctcor,3.2500e-006,
16-50117,CC_g,-9.79286782e-001,
16-50117,CC_h,1.52724737e-001,
16-50117,CC_i,-1.67867257e-004,
16-50117,CC_j,3.67991428e-005,
