serial,name,value,notes
1152,CC_dark_counts_cdom,47,date in filename comes from factory characterization sheet
1152,CC_scale_factor_cdom,0.0782,
1152,CC_dark_counts_chlorophyll_a,47,
1152,CC_scale_factor_chlorophyll_a,0.0069,
1152,CC_dark_counts_volume_scatter,52,
1152,CC_scale_factor_volume_scatter,2.026e-06,
1152,CC_depolarization_ratio,0.039,Constant
1152,CC_measurement_wavelength,700,[nm]; Constant
1152,CC_scattering_angle,124,[degrees]; Constant
1152,CC_angular_resolution,1.076,Erroneously named constant; this coefficient scales the particulate scattering at 124 degrees to total backscatter from particles
