serial,name,value,notes
1303,CC_dark_counts_cdom,45,date in filename comes from dev file
1303,CC_scale_factor_cdom,0.0681,
1303,CC_dark_counts_chlorophyll_a,52,
1303,CC_scale_factor_chlorophyll_a,.0117,
1303,CC_dark_counts_volume_scatter,51,
1303,CC_scale_factor_volume_scatter,2.143e-06,
1303,CC_depolarization_ratio,0.039,Constant
1303,CC_measurement_wavelength,700,[nm]; Constant
1303,CC_scattering_angle,124,[degrees]; Constant
1303,CC_angular_resolution,1.076,Erroneously named constant; this coefficient scales the particulate scattering at 124 degrees to total backscatter from particles
