OOIBARCODE,Int_Asset,DESCRIPTION,Type,serial_number,Date,comments
N00267,CE06ISSM-00003,,Mooring,CE06ISSM-00003,10/13/2015,
,,CTDBP S/N,,,,
,,FLORT S/N,,,,
A01747,,VELPT S/N,Sensor,AQD 12707,,
,,WAVSS S/N,,,,
OL000215,,MOPAK S/N,,CE06ISSM-00003-MOPAK,,
,,ADCP S/N,,,,
A00128,,CTDBP S/N,Sensor,16P71879-7242,,
A01690,,DOSTA S/N,Sensor,480,,
A00474,,FLORT S/N,Sensor,1121,,
A01778,,NUTNR S/N,Sensor,287,,
,,NUTNR Batt S/N,,,,
N00673,,OPTAA S/N,Sensor,ACS-259,,
A00800,,PCO2W S/N,Sensor,C0082,,
A01427,,PHSEN S/N,Sensor,P0160,,
A01660,,SPKIR S/N,Sensor,243,,
A01015,,VELPT S/N,Sensor,AQD 11774,,
,,MFN AcousticRelease S/N,,,,
,,MFN AcousticRelease S/N,,,,
,,ARM AcousticRelease S/N,,,,
A01051,,ADCP S/N,Sensor,21517,,
,,CAMDS S/N,,,,
A01757,,CTDBP S/N,Sensor,16-50152,,
A01693,,DOSTA S/N,Sensor,484,,
,,OPTAA S/N,,N/A,,
,,PCO2W S/N,,N/A,,
,,PHSEN S/N,,N/A,,
N00674,,PRESF S/N,Sensor,26-1391,,
,,VELPT S/N,,,,
A01028,,VEL3D S/N,Sensor,11084,,
N00675,,ZPLSC S/N,Sensor,55097,,
OL000216,,CE06ISSM-00003-CPM1,,CE06ISSM-00003-CPM1,,
OL000217,,CE06ISSM-00003-CPM3,,CE06ISSM-00003-CPM3,,
OL000218,,CE06ISSM-00003-DCL17,,CE06ISSM-00003-DCL17,,
OL000219,,CE06ISSM-00003-DCL16,,CE06ISSM-00003-DCL16,,
OL000220,,CE06ISSM-00003-DCL35,,CE06ISSM-00003-DCL35,,
OL000221,,CE06ISSM-00003-DCL37,,CE06ISSM-00003-DCL37,,
